id,listing_url,name,room_type,neighbourhood,latitude,longitude,price,availability_30,calendar_last_scraped,number_of_reviews,review_scores_accuracy
176092,https://www.airbnb.com/rooms/176092,Private Garden Artist Space,Private room,Mission District,37.75271742,-122.4093401,$117.00 ,3,4/2/2017,234,10
5107706,https://www.airbnb.com/rooms/5107706,Lovely Place!,Entire home/apt,Mission District,37.76059363,-122.4185532,$500.00 ,0,4/2/2017,0,
10153977,https://www.airbnb.com/rooms/10153977,Spacious room near Valencia St,Private room,Mission District,37.74851144,-122.4172331,$65.00 ,0,4/2/2017,1,2
8105974,https://www.airbnb.com/rooms/8105974,"Sunny&Quiet 2BDR loft, Top location",Entire home/apt,Mission District,37.75842278,-122.4119598,$318.00 ,14,4/2/2017,7,10
6974923,https://www.airbnb.com/rooms/6974923,Great room in the heart of Mission,Private room,Mission District,37.75996482,-122.4179394,$150.00 ,0,4/2/2017,0,
9219530,https://www.airbnb.com/rooms/9219530,Private room in heart of Mission,Private room,Mission District,37.76403193,-122.4248225,$75.00 ,0,4/2/2017,3,10
9884258,https://www.airbnb.com/rooms/9884258,2 Lofted Beds in Community House!,Private room,Mission District,37.74964663,-122.4175526,$100.00 ,0,4/2/2017,3,8
7400895,https://www.airbnb.com/rooms/7400895,Chic Sunny Mission Apartment,Entire home/apt,Mission District,37.76945631,-122.4227033,$285.00 ,28,4/2/2017,12,10
9448855,https://www.airbnb.com/rooms/9448855,3 bedroom w Garden - Luxury Mission,Entire home/apt,Mission District,37.7682995,-122.4253431,$375.00 ,0,4/2/2017,0,
7974287,https://www.airbnb.com/rooms/7974287,Private Bedroom in Mission,Private room,Mission District,37.7644722,-122.418478,$89.00 ,0,4/2/2017,2,10
13622506,https://www.airbnb.com/rooms/13622506,Modern Private Room with Bath,Private room,,37.76896906,-122.4108756,$150.00 ,4,4/2/2017,31,10
17316289,https://www.airbnb.com/rooms/17316289,Beautiful and spacious house in the Mission,Private room,Mission District,37.7594018,-122.4181344,$125.00 ,0,4/2/2017,0,
58756,https://www.airbnb.com/rooms/58756,Charming Apartment in the Mission District,Private room,Mission District,37.75991582,-122.4191283,$127.00 ,0,4/2/2017,2,10
1892956,https://www.airbnb.com/rooms/1892956,"Cozy Room for One or Two, Great Neighborhood",Private room,Mission District,37.75446376,-122.4224758,$75.00 ,0,4/2/2017,46,10
8973469,https://www.airbnb.com/rooms/8973469,Classic SF Victorian in Noe/Mission,Entire home/apt,Noe Valley,37.74984557,-122.4239428,"$1,500.00 ",0,4/2/2017,0,
15150231,https://www.airbnb.com/rooms/15150231,Stay in the heart of The Mission,Entire home/apt,,37.7614406,-122.4213018,$139.00 ,3,4/2/2017,2,7
3695452,https://www.airbnb.com/rooms/3695452,Cozy private bedroom in the Mission District,Private room,Mission District,37.75327879,-122.4118102,$69.00 ,0,4/2/2017,2,10
9481209,https://www.airbnb.com/rooms/9481209,Cozy room in the Mission,Private room,Mission District,37.75017197,-122.41734,$65.00 ,0,4/2/2017,4,10
13085830,https://www.airbnb.com/rooms/13085830,Private Room in Valencia Corridor (Mission),Private room,Mission District,37.74936883,-122.4223664,$110.00 ,0,4/2/2017,2,10
1403992,https://www.airbnb.com/rooms/1403992,Cozy place near by Mission dolores ,Entire home/apt,Mission District,37.7660067,-122.4183305,$148.00 ,0,4/2/2017,0,
3419211,https://www.airbnb.com/rooms/3419211,Exquisite top-floor flat in Mission,Entire home/apt,Mission District,37.74866918,-122.4213935,$165.00 ,0,4/2/2017,3,10
273452,https://www.airbnb.com/rooms/273452,Mission/Castro Home Sweet SF Home!,Entire home/apt,Mission District,37.76864954,-122.42457,$189.00 ,3,4/2/2017,5,9
5008402,https://www.airbnb.com/rooms/5008402,Bedroom in the Heart of the Mission,Private room,Mission District,37.76601194,-122.4229685,$150.00 ,0,4/2/2017,6,10
10586068,https://www.airbnb.com/rooms/10586068,Sunny and Spacious Two Bdrm in 1895 Victorian Home,Entire home/apt,Mission District,37.75845746,-122.4086654,$250.00 ,9,4/2/2017,38,10
13802791,https://www.airbnb.com/rooms/13802791,Charming Victorian in the heart of the Mission,Entire home/apt,Mission District,37.757922,-122.4141182,$250.00 ,0,4/2/2017,23,10
8213336,https://www.airbnb.com/rooms/8213336,Private Bed & Bath in heart of SF,Private room,Mission District,37.75877365,-122.4108145,$120.00 ,0,4/2/2017,1,10
2502368,https://www.airbnb.com/rooms/2502368,Private Room in San Francisco's Mission District,Private room,Mission District,37.74979106,-122.4087655,$99.00 ,15,4/2/2017,5,10
7492644,https://www.airbnb.com/rooms/7492644,Nice Apartment right in Mission,Private room,Mission District,37.76573017,-122.4209976,$158.00 ,0,4/2/2017,1,10
3079665,https://www.airbnb.com/rooms/3079665,"Modern, Spacious, Prime Location â˜ƒ",Private room,Mission District,37.76058002,-122.4254066,$100.00 ,4,4/2/2017,35,10
470686,https://www.airbnb.com/rooms/470686,Private bath/Queen bdrm/Super Location,Private room,Mission District,37.7673056,-122.4254201,$125.00 ,27,4/2/2017,177,10
3194136,https://www.airbnb.com/rooms/3194136,Private Room - in Mission House,Private room,Mission District,37.75884751,-122.4059452,$80.00 ,0,4/2/2017,0,
12906085,https://www.airbnb.com/rooms/12906085,private room 12x10 ft heart of valencia st sf,Private room,Mission District,37.76845419,-122.4216172,$69.00 ,28,4/2/2017,13,7
8597092,https://www.airbnb.com/rooms/8597092,Lovely private bedroom in SF,Private room,Mission District,37.75696962,-122.4076487,$85.00 ,12,4/2/2017,10,9
1060442,https://www.airbnb.com/rooms/1060442,Mission District Garden Cottage,Entire home/apt,Mission District,37.74847017,-122.417238,$200.00 ,0,4/2/2017,31,10
6913294,https://www.airbnb.com/rooms/6913294,Sunny Room in Beautiful Victorian,Private room,Mission District,37.75597989,-122.4152521,$115.00 ,21,4/2/2017,23,9
